nthreads,time
1,2.19
2,3.24
3,4.85
4,6.49
5,7.05
6,7.93
7,9.67
8,11.50
9,11.99
10,12.54
11,13.18
12,14.35
13,15.46
14,17.14
15,18.15
16,18.37
17,19.16
18,20.29
19,21.50
20,22.58
21,23.75
22,24.82
23,25.99
24,27.12
