nthreads,time
1,2.19
2,3.49
3,3.91
4,4.63
5,4.95
6,5.85
7,6.48
8,6.94
9,7.47
10,7.75
11,8.62
12,9.41
13,10.32
14,11.78
15,13.13
16,13.50
17,13.53
18,14.69
19,14.77
20,15.67
21,16.99
22,16.10
23,17.31
24,17.69
